"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","ED1","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","OC1","OD1","OD2","REM","EQD"
"01089099999","2025-08-03T20:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","060,1,N,0041,1","00152,1,9,N","009999,1,9,9","+0120,1","+0120,1","99999,9",,,,"04,1,+00091,1,99,9","07,1,+00152,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00091,1,99,9,99,9",,,"10160,1,99999,9",,,,,,,"MET081METAR ENKR 032050Z 06008KT 9999 SCT003 BKN005 12/12 Q1016 RMK WIND 731FT 07017KT=",
"01089099999","2025-08-03T21:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","020,1,N,0030,1","99999,9,9,N","999999,9,9,9","+0123,1","+0118,1","10167,1",,,,,,,,,"240,M,+0124,1","240,N,+0121,1","99999,9,10063,1","8,1,008,1,+999,9",,,,"3,99,0060,1,999",,"SYN07601089 46/// /0203 10123 20118 30063 40167 58008 333 10124 20121 90710 91106=",
"01089099999","2025-08-03T21:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","060,1,N,0041,1","00091,1,C,N","007000,1,9,9","+0120,1","+0120,1","99999,9",,,,"07,1,+00091,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00091,1,99,9,99,9",,,"10160,1,99999,9",,,,,,,"MET074METAR ENKR 032120Z 06008KT 7000 BKN003 12/12 Q1016 RMK WIND 731FT 06013KT=",
"01089099999","2025-08-03T21:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","060,1,N,0036,1","00061,1,C,N","006000,1,9,9","+0120,1","+0120,1","99999,9",,,,"07,1,+00061,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00061,1,99,9,99,9",,,"10160,1,99999,9",,,,,,,"MET074METAR ENKR 032150Z 06007KT 6000 BKN002 12/12 Q1016 RMK WIND 731FT 07012KT=",
"01089099999","2025-08-03T22:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","020,1,N,0030,1","99999,9,9,N","999999,9,9,9","+0124,1","+0121,1","10166,1",,,,,,,,,"240,M,+0125,1","240,N,+0122,1","99999,9,10062,1","8,1,005,1,+999,9",,,,"3,99,0050,1,999",,"SYN07601089 46/// /0203 10124 20121 30062 40166 58005 333 10125 20122 90710 91105=",
"01089099999","2025-08-03T22:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","070,1,N,0036,1","00091,1,C,N","009999,1,9,9","+0120,1","+0120,1","99999,9",,,,"07,1,+00091,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00091,1,99,9,99,9",,,"10160,1,99999,9",,,,,,,"MET074METAR ENKR 032220Z 07007KT 9999 BKN003 12/12 Q1016 RMK WIND 731FT 07011KT=",
"01089099999","2025-08-03T22:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","070,1,N,0041,1","00061,1,C,N","009999,1,9,9","+0120,1","+0120,1","99999,9",,,,"08,1,+00061,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00061,1,99,9,99,9",,,"10160,1,99999,9",,,,,,,"MET082METAR ENKR 032250Z AUTO 07008KT 9999 OVC002/// 12/12 Q1016 RMK WIND 731FT 07011KT=",
"01089099999","2025-08-03T23:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","040,1,N,0040,1","99999,9,9,N","999999,9,9,9","+0122,1","+0119,1","10163,1",,,,,,,,,"240,M,+0124,1","240,N,+0122,1","99999,9,10059,1","6,1,011,1,+999,9",,,,"3,99,0060,1,999",,"SYN08201089 46/// /0404 10122 20119 30059 40163 56011 92300 333 10124 20122 90710 91106=",
"01089099999","2025-08-03T23:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","080,1,N,0041,1","00061,1,C,N","009999,1,9,9","+0120,1","+0120,1","99999,9",,,,"08,1,+00061,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00061,1,99,9,99,9",,,"10160,1,99999,9",,,,,,,"MET082METAR ENKR 032320Z AUTO 08008KT 9999 OVC002/// 12/12 Q1016 RMK WIND 731FT 08010KT=",
"01089099999","2025-08-03T23:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","070,1,N,0031,1","00061,1,C,N","009999,1,9,9","+0120,1","+0120,1","99999,9",,,,"08,1,+00061,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00061,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,"MET082METAR ENKR 032350Z AUTO 07006KT 9999 OVC002/// 12/12 Q1015 RMK WIND 731FT 07011KT=",
"01089099999","2025-08-04T00:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","030,1,N,0030,1","99999,9,9,N","999999,9,9,9","+0122,1","+0117,1","10160,1",,,,,,,,,"120,M,+0124,1","120,N,+0122,1","99999,9,10056,1","8,1,007,1,+999,9",,,,"3,99,0050,1,999",,"SYN07601089 46/// /0303 10122 20117 30056 40160 58007 333 10124 20122 90710 91105=",
"01089099999","2025-08-04T00:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","060,1,N,0036,1","00061,1,C,N","009999,1,9,9","+0120,1","+0120,1","99999,9",,,,"08,1,+00061,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00061,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,"MET082METAR ENKR 040020Z AUTO 06007KT 9999 OVC002/// 12/12 Q1015 RMK WIND 731FT 06008KT=",
"01089099999","2025-08-04T00:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","060,1,N,0036,1","00091,1,C,N","009999,1,9,9","+0130,1","+0120,1","99999,9",,,,"08,1,+00091,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,00091,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,"MET082METAR ENKR 040050Z AUTO 06007KT 9999 OVC003/// 13/12 Q1015 RMK WIND 731FT 06010KT=",
